plaintext_url,title,author,reading_level,ebook_no,language,most_recently_updated,book_page_url
https://books.flotwiskunde.nl/ebooks/books/2852.txt,The Hound of the Baskervilles by Arthur Conan Doyle,"Doyle, Arthur Conan, 1859-1930",Reading ease score: 80.9 (6th grade). Easy to read.,2852,English,"Aug 4, 2025",https://books.flotwiskunde.nl/ebooks/2852
https://books.flotwiskunde.nl/ebooks/books/244.txt,A Study in Scarlet by Arthur Conan Doyle,"Doyle, Arthur Conan, 1859-1930",Reading ease score: 80.2 (6th grade). Easy to read.,244,English,"Dec 9, 2025",https://books.flotwiskunde.nl/ebooks/244
https://books.flotwiskunde.nl/ebooks/books/161.txt,Sense and Sensibility by Jane Austen,"Austen, Jane, 1775-1817",Reading ease score: 66.2 (8th & 9th grade). Neither easy nor difficult to read.,161,English,"Mar 31, 2021",https://books.flotwiskunde.nl/ebooks/161
https://books.flotwiskunde.nl/ebooks/books/135.txt,Les MisÃ©rables by Victor Hugo,"Hugo, Victor, 1802-1885",Reading ease score: 79.7 (7th grade). Fairly easy to read.,135,English,"Jul 20, 2021",https://books.flotwiskunde.nl/ebooks/135
https://books.flotwiskunde.nl/ebooks/books/7241.txt,"Fables of La Fontaine â a New Edition, with Notes by Jean de La Fontaine","La Fontaine, Jean de, 1621-1695",Reading ease score: 79.6 (7th grade). Fairly easy to read.,7241,English,"Mar 13, 2020",https://books.flotwiskunde.nl/ebooks/7241
https://books.flotwiskunde.nl/ebooks/books/34901.txt,On Liberty by John Stuart Mill,"Mill, John Stuart, 1806-1873",Reading ease score: 43.3 (College-level). Difficult to read.,34901,English,"Aug 12, 2019",https://books.flotwiskunde.nl/ebooks/34901
https://books.flotwiskunde.nl/ebooks/books/996.txt,Don Quixote by Miguel de Cervantes Saavedra,"Cervantes Saavedra, Miguel de, 1547-1616",Reading ease score: 50.7 (10th to 12th grade). Somewhat difficult to read.,996,English,"Mar 30, 2023",https://books.flotwiskunde.nl/ebooks/996
https://books.flotwiskunde.nl/ebooks/books/41445.txt,"Frankenstein; Or, The Modern Prometheus by Mary Wollstonecraft Shelley","Shelley, Mary Wollstonecraft, 1797-1851",Reading ease score: 64.8 (8th & 9th grade). Neither easy nor difficult to read.,41445,English,"Oct 23, 2024",https://books.flotwiskunde.nl/ebooks/41445
https://books.flotwiskunde.nl/ebooks/books/30254.txt,The Romance of Lust: A classic Victorian erotic novel by Anonymous,Anonymous,Reading ease score: 71.6 (7th grade). Fairly easy to read.,30254,English,"Oct 24, 2024",https://books.flotwiskunde.nl/ebooks/30254
https://books.flotwiskunde.nl/ebooks/books/36459.txt,ç¾¹ by Jun'ichiro Tanizaki,"Tanizaki, Jun'ichiro, 1886-1965",,36459,Japanese,"Mar 3, 2021",https://books.flotwiskunde.nl/ebooks/36459
https://books.flotwiskunde.nl/ebooks/books/1600.txt,Symposium by Plato,"Plato, 428? BCE-348? BCE",Reading ease score: 65.6 (8th & 9th grade). Neither easy nor difficult to read.,1600,English,"Mar 4, 2013",https://books.flotwiskunde.nl/ebooks/1600
https://books.flotwiskunde.nl/ebooks/books/219.txt,Heart of Darkness by Joseph Conrad,"Conrad, Joseph, 1857-1924",Reading ease score: 80.2 (6th grade). Easy to read.,219,English,"Aug 3, 2024",https://books.flotwiskunde.nl/ebooks/219
https://books.flotwiskunde.nl/ebooks/books/15399.txt,"The Interesting Narrative of the Life of Olaudah Equiano, Or Gustavus Vassa,â¦","Equiano, Olaudah, 1745-1797",Reading ease score: 67.0 (8th & 9th grade). Neither easy nor difficult to read.,15399,English,"Oct 4, 2024",https://books.flotwiskunde.nl/ebooks/15399
https://books.flotwiskunde.nl/ebooks/books/1023.txt,Bleak House by Charles Dickens,"Dickens, Charles, 1812-1870",Reading ease score: 79.7 (7th grade). Fairly easy to read.,1023,English,"Jul 14, 2025",https://books.flotwiskunde.nl/ebooks/1023
https://books.flotwiskunde.nl/ebooks/books/26.txt,Paradise Lost by John Milton,"Milton, John, 1608-1674",Reading ease score: 53.0 (10th to 12th grade). Somewhat difficult to read.,26,English,"Mar 13, 2025",https://books.flotwiskunde.nl/ebooks/26
https://books.flotwiskunde.nl/ebooks/books/829.txt,Gulliver's Travels into Several Remote Nations of the World by Jonathan Swift,"Swift, Jonathan, 1667-1745",Reading ease score: 50.9 (10th to 12th grade). Somewhat difficult to read.,829,English,"Apr 6, 2025",https://books.flotwiskunde.nl/ebooks/829
https://books.flotwiskunde.nl/ebooks/books/16.txt,Peter Pan :  [Peter and Wendy] by J. M. Barrie,"Barrie, J. M. (James Matthew), 1860-1937",Reading ease score: 89.7 (6th grade). Easy to read.,16,English,"Oct 11, 2025",https://books.flotwiskunde.nl/ebooks/16
https://books.flotwiskunde.nl/ebooks/books/20228.txt,Noli Me Tangere by JosÃ© Rizal,"Rizal, JosÃ©, 1861-1896",Reading ease score: 59.3 (10th to 12th grade). Somewhat difficult to read.,20228,Tagalog,"Aug 29, 2025",https://books.flotwiskunde.nl/ebooks/20228
https://books.flotwiskunde.nl/ebooks/books/1524.txt,Hamlet by William Shakespeare,"Shakespeare, William, 1564-1616",Reading ease score: 83.6 (6th grade). Easy to read.,1524,English,"Sep 19, 2025",https://books.flotwiskunde.nl/ebooks/1524
https://books.flotwiskunde.nl/ebooks/books/19942.txt,Candide by Voltaire,"Voltaire, 1694-1778",Reading ease score: 77.0 (7th grade). Fairly easy to read.,19942,English,"Nov 5, 2012",https://books.flotwiskunde.nl/ebooks/19942
https://books.flotwiskunde.nl/ebooks/books/3090.txt,Complete Original Short Stories of Guy De Maupassant by Guy de Maupassant,"Maupassant, Guy de, 1850-1893",Reading ease score: 78.6 (7th grade). Fairly easy to read.,3090,English,"Jan 31, 2024",https://books.flotwiskunde.nl/ebooks/3090
https://books.flotwiskunde.nl/ebooks/books/132.txt,The Art of War by active 6th century B.C. Sunzi,"Sunzi, active 6th century B.C.",Reading ease score: 66.8 (8th & 9th grade). Neither easy nor difficult to read.,132,English,"Aug 16, 2024",https://books.flotwiskunde.nl/ebooks/132
https://books.flotwiskunde.nl/ebooks/books/2814.txt,Dubliners by James Joyce,"Joyce, James, 1882-1941",Reading ease score: 81.7 (6th grade). Easy to read.,2814,English,"May 21, 2021",https://books.flotwiskunde.nl/ebooks/2814
https://books.flotwiskunde.nl/ebooks/books/75883.txt,"The Roll of Honour, Volume 1 :  A biographical record of all members of Hisâ¦","Ruvigny et Raineval, Melville Henry Massue, marquis de, 1868-1921",Reading ease score: 85.9 (6th grade). Easy to read.,75883,English,,https://books.flotwiskunde.nl/ebooks/75883
https://books.flotwiskunde.nl/ebooks/books/10676.txt,The Reign of Greed by JosÃ© Rizal,"Rizal, JosÃ©, 1861-1896",Reading ease score: 66.9 (8th & 9th grade). Neither easy nor difficult to read.,10676,English,"Oct 28, 2024",https://books.flotwiskunde.nl/ebooks/10676
https://books.flotwiskunde.nl/ebooks/books/514.txt,Little Women by Louisa May Alcott,"Alcott, Louisa May, 1832-1888",Reading ease score: 77.0 (7th grade). Fairly easy to read.,514,English,"Nov 4, 2022",https://books.flotwiskunde.nl/ebooks/514
